Zone,Channel,Year,Month,Ton,Amount,Baht
N1,N1PB,2019,11,56.74000000000001,51878.0,914.3108917870989
N1,N1PB,2019,12,73.77999999999999,66014.9,894.7533206831121
N1,N1PB,2020,1,143.93000000000006,130536.7,906.9457375112897
N1,N1PB,2020,2,52.89999999999999,46597.6,880.8620037807184
N1,N1PB,2020,3,147.26000000000005,128454.20000000001,872.2952600842046
N1,N1PB,2020,4,30.0,26038.4,867.9466666666667
N1,N1PB,2020,5,36.71000000000001,32248.199999999997,878.458185780441
N1,N1PB,2020,6,45.120000000000005,39379.4,872.770390070922
N1,N1PB,2020,7,8.93,7580.8,848.9137737961927
N1,N1PR,2018,1,94.29999999999997,69722.0,739.3637327677627
N1,N1PR,2018,2,81.04999999999998,57715.0,712.0913016656386
N1,N1PR,2018,3,74.11999999999999,51845.5,699.480572045332
N1,N1PR,2018,4,75.55,59685.8,790.0172071475845
N1,N1PR,2018,5,16.08,12748.0,792.7860696517414
N1,N1PR,2018,6,4.84,4356.0,900.0
N1,N1PR,2018,7,36.19,32571.0,900.0
N1,N1PR,2018,8,31.369999999999997,29801.5,950.0000000000001
N1,N1PR,2018,9,21.52,21555.300000000003,1001.6403345724908
N1,N1PR,2018,10,158.17000000000002,154539.9,977.0493772523233
N1,N1PR,2018,11,65.39,64070.70000000001,979.8241321302953
N1,N1PR,2018,12,173.41,169916.99999999997,979.856986332968
N1,N1PR,2019,1,28.229999999999997,27665.400000000005,980.0000000000003
N1,N1PR,2019,2,68.68,68444.5,996.5710541642399
N1,N1PR,2019,3,65.36999999999999,63590.700000000004,972.7810922441489
N1,N1PR,2019,4,160.59,155708.8999999999,969.6052058035987
N1,N1PR,2019,5,264.19,251458.5,951.8093039100647
N1,N1PR,2019,6,49.72999999999998,47978.4,964.7778001206519
N1,N1PR,2019,7,13.120000000000001,12090.2,921.5091463414634
N1,N1PR,2019,8,65.16,58873.6,903.5236341313689
N1,N1PR,2019,9,58.54,52790.3,901.7816877348822
N1,N1PR,2019,10,66.60000000000002,60000.2,900.9039039039036
N1,N1PR,2019,11,43.120000000000005,39704.1,920.7815398886826
N1,N1PR,2019,12,47.84000000000001,45134.0,943.4364548494981
N1,N1PR,2020,1,82.10000000000002,73729.5,898.0450669914736
N1,N1PR,2020,2,65.19999999999997,57336.100000000006,879.3880368098164
N1,N1PR,2020,3,40.3,34968.0,867.6923076923077
N1,N1PR,2020,4,44.08,37990.4,861.8511796733213
N1,N1PR,2020,5,34.72,30434.099999999995,876.5581797235022
N1,N1PR,2020,7,2.03,1766.1,870.0
N1,N1TC,2017,3,12.499999999999998,13244.0,1059.5200000000002
N1,N1TC,2017,4,76.93999999999998,84100.0,1093.0595269040814
N1,N1TC,2017,5,13.75,14778.0,1074.7636363636364
N1,N1TC,2017,6,8.89,9088.0,1022.2722159730033
N1,N1TC,2017,7,2.21,1326.0,600.0
N1,N1TC,2017,9,22.310000000000002,25728.0,1153.2048408785297
N1,N1TC,2017,10,2.37,2844.0,1200.0
N1,N1TC,2017,11,126.75999999999996,143418.0,1131.4136951719788
N1,N1TC,2017,12,75.22999999999999,83200.0,1105.941778545793
N1,N1TC,2018,1,118.28999999999995,120676.0,1020.1707667596589
N1,N1TC,2018,2,56.279999999999994,59114.0,1050.355366027008
N1,N1TC,2018,3,11.17,11429.0,1023.1871083258728
N1,N1TC,2018,4,9.850000000000001,9709.3,985.7157360406089
N1,N1TC,2018,5,12.07,13282.7,1100.4722452361227
N1,N1TC,2018,6,8.48,8871.400000000001,1046.1556603773586
N1,N1TC,2018,8,10.219999999999999,11060.8,1082.270058708415
N1,N1TC,2018,9,36.620000000000005,39246.1,1071.7121791370835
N1,N1TC,2018,10,14.339999999999998,9717.0,677.6150627615064
N1,N1TC,2018,11,19.26,20800.8,1079.9999999999998
N1,N1TC,2018,12,18.64,21371.4,1146.5343347639484
N1,N1TC,2019,1,2.52,2469.6,980.0
N1,N1TC,2019,2,11.56,11857.0,1025.6920415224913
N1,N1TC,2019,3,46.080000000000005,52197.9,1132.7669270833333
N1,N1TC,2019,4,79.22,88855.29999999999,1121.6271143650592
N1,N1TC,2019,5,131.42999999999998,146937.5,1117.9905653199423
N1,N1TC,2019,6,63.96,71579.09999999999,1119.122889305816
N1,N1TC,2019,7,114.89000000000001,120665.19999999998,1050.2672121159367
N1,N1TC,2019,8,85.08000000000001,82563.29999999999,970.4196050775738
N1,N1TC,2019,9,54.71999999999999,53012.1,968.7883771929826
N1,N1TC,2019,10,114.82000000000004,109312.0,952.0292631945651
N1,N1TC,2019,11,25.11,24199.6,963.7435284747112
N1,N1TC,2019,12,83.99000000000004,81614.0,971.7109179664242
N1,N1TC,2020,1,149.11000000000007,143627.40000000008,963.2311716182685
N1,N1TC,2020,2,234.18999999999994,219902.0000000001,938.9897092104708
N1,N1TC,2020,3,247.12999999999982,232452.10000000015,940.6065633472274
N1,N1TC,2020,4,74.88999999999999,70151.7,936.7298704766993
N1,N1TC,2020,5,25.110000000000003,23956.3,954.0541616885702
N1,N1TC,2020,6,17.490000000000006,16314.4,932.7844482561461
N1,N1TC,2020,7,3.6399999999999997,3350.9,920.5769230769232
N1,N1TK,2019,2,0.05,50.0,1000.0
N1,N1TK,2019,8,14.49,13041.0,900.0
N1,N1TK,2020,4,5.59,4863.3,870.0
N1,N1TK,2020,7,4.55,3958.5,870.0
N1,N1TN,2017,2,1.35,1350.0,999.9999999999999
N1,N1TN,2017,3,12.52,13772.0,1100.0
N1,N1TN,2017,4,7.1,7455.0,1050.0
N1,N1TN,2017,5,7.4,6447.0,871.2162162162161
N1,N1TN,2017,7,27.409999999999997,27736.5,1011.9117110543599
N1,N1TN,2017,8,3.5300000000000002,3220.5,912.3229461756373
N1,N1TN,2017,9,9.61,6333.1,659.0114464099896
N1,N1TN,2017,10,8.9,8030.0,902.2471910112359
N1,N1TN,2017,11,10.620000000000001,8470.0,797.5517890772127
N1,N1TN,2017,12,1.96,1405.0,716.8367346938776
N1,N1TN,2018,1,11.639999999999999,10674.0,917.0103092783506
N1,N1TN,2018,2,18.880000000000003,12214.0,646.9279661016948
N1,N1TN,2018,4,11.8,6604.5,559.7033898305084
N1,N1TN,2018,5,0.8,360.0,450.0
N1,N1TN,2018,7,9.110000000000001,8704.0,955.4335894621294
N1,N1TN,2018,8,175.04999999999998,176253.0,1006.8723221936591
N1,N1TN,2018,9,203.64000000000001,204414.70000000004,1003.8042624238855
N1,N1TN,2018,10,85.09999999999997,86537.40000000001,1016.8907168037608
N1,N1TN,2018,11,31.620000000000005,31565.8,998.2858950031624
N1,N1TN,2018,12,101.26999999999998,101461.00000000001,1001.8860472005533
N1,N1TN,2019,1,179.19,182471.0,1018.3101735587924
N1,N1TN,2019,2,230.82999999999993,234219.5,1014.6839665554741
N1,N1TN,2019,3,152.27999999999994,155393.59999999998,1020.446545836617
N1,N1TN,2019,4,66.15,65245.900000000016,986.3325774754347
N1,N1TN,2019,5,123.48,121744.9,985.9483317136378
N1,N1TN,2019,6,75.51000000000002,74058.70000000003,980.780029135214
N1,N1TN,2019,7,84.00999999999999,78678.1,936.5325556481373
N1,N1TN,2019,8,70.91000000000001,64184.200000000004,905.1501903821745
N1,N1TN,2019,9,54.41,49144.00000000001,903.2163205293147
