Zone,Channel,Year,Month,Baht,Ton
N3,N3TK,2019,5,1011.75,372.7000000000004
N3,N3TK,2019,6,1011.6279069767442,353.2899999999997
N3,N3TK,2019,7,978.1481481481482,327.0299999999999
N3,N3TK,2019,8,951.0062893081761,316.8199999999998
N3,N3TK,2019,9,950.0,90.09
N3,N3TK,2019,10,950.0,64.02
N3,N3TK,2019,11,950.0,118.17999999999999
N3,N3TK,2019,12,971.5384615384615,261.87000000000006
N3,N3TK,2020,1,954.2560553633218,582.86
N3,N3TK,2020,2,952.6031746031746,629.1999999999999
N3,N3TK,2020,3,922.2110552763819,440.64000000000004
N3,N3TK,2020,4,902.6666666666666,180.88999999999996
N3,N3TK,2020,5,915.1111111111111,132.93
N3,N3TK,2020,6,909.3650793650794,219.79000000000005
N3,N3WR,2018,3,1100.0,32.57
N3,N3WR,2018,4,1100.0,136.01000000000005
N3,N3WR,2018,5,1100.0,79.97
N3,N3WR,2018,6,1100.0,37.690000000000005
N3,N3WR,2018,7,1070.0,59.7
N3,N3WR,2018,9,950.0,0.79
N3,N3WR,2018,10,950.0,19.330000000000002
N3,N3WR,2018,11,997.0588235294117,23.700000000000003
N3,N3WR,2018,12,1000.0,251.62000000000006
N3,N3WR,2019,1,1050.0,231.03000000000003
N3,N3WR,2019,2,1020.0,62.269999999999996
N3,N3WR,2019,3,1000.0,192.50000000000003
N3,N3WR,2019,4,1000.0,98.78
N3,N3WR,2019,5,1000.0,87.3
N3,N3WR,2019,6,1000.0,66.6
N3,N3WR,2019,7,968.0555555555555,107.87
N3,N3WR,2019,8,950.0,83.11
N3,N3WR,2019,9,950.0,45.91999999999999
N3,N3WR,2019,10,1050.0,47.14999999999999
N3,N3WR,2019,11,1050.0,5.26
N3,N3WR,2019,12,1050.0,149.31
N3,N3WR,2020,1,1000.0,166.30999999999995
N3,N3WR,2020,2,983.6,124.33000000000003
N3,N3WR,2020,3,936.8085106382979,141.92000000000002
N3,N3WR,2020,4,911.6666666666666,36.62
N3,N3WR,2020,5,930.0,15.93
N3,N3WR,2020,6,910.0,1.41
UC,UC1,2013,12,966.6666666666666,43.04
UC,UC1,2014,1,316.6666666666667,9.11
UC,UC1,2014,2,788.2352941176471,47.13000000000001
UC,UC1,2014,3,975.0,11.79
UC,UC1,2014,4,939.4673123486683,1317.3999999999992
UC,UC1,2014,5,947.1065989847716,701.0699999999999
UC,UC1,2014,6,806.0,12.34
UC,UC1,2014,7,1000.0,0.77
UC,UC1,2015,4,847.5897435897435,4181.5099999999975
UC,UC1,2015,5,757.807486631016,10503.520000000022
UC,UC1,2015,6,798.3765801729874,10944.289999999972
UC,UC1,2015,7,851.4528944381385,6101.930000000016
UC,UC1,2015,8,867.3374613003095,1165.85
UC,UC1,2015,9,846.1567164179105,4967.530000000001
UC,UC1,2015,10,841.237322515213,3609.1199999999985
UC,UC1,2015,11,796.3044982698962,4967.42
UC,UC1,2015,12,832.724609375,6748.050000000008
UC,UC1,2016,1,822.5465376023827,7989.700000000014
UC,UC1,2016,2,856.4147802929427,9185.230000000009
UC,UC1,2016,3,876.8712955122777,8111.970000000008
UC,UC1,2016,4,900.2261513157895,7571.329999999994
UC,UC1,2016,5,775.1390220517737,12852.229999999965
UC,UC1,2016,6,685.6988020536223,9702.909999999993
UC,UC1,2016,7,763.5241635687732,8115.120000000001
UC,UC1,2016,8,697.7428737638162,10533.25000000001
UC,UC1,2016,9,676.1063950198076,9179.630000000006
UC,UC1,2016,10,785.0829748002459,7002.029999999997
UC,UC1,2016,11,928.9571428571429,7592.239999999997
UC,UC1,2016,12,908.0997624703087,11506.539999999972
UC,UC1,2017,1,886.2158130283441,11450.430000000002
